2023-01-05,1200.00
2023-01-15,950.00
2023-02-03,1350.00
2023-02-18,800.00
2023-03-08,1100.00
2023-03-22,750.00
2023-04-06,1250.00
2023-04-19,900.00
2023-05-12,1050.00
2023-05-25,850.00
2023-06-07,1300.00
2023-06-20,950.00
2023-07-02,1150.00
2023-07-15,900.00
2023-08-04,1400.00
2023-08-17,850.00
2023-09-06,1200.00
2023-09-21,800.00
2023-10-05,1300.00
2023-10-18,950.00
2023-11-08,1150.00
2023-11-22,900.00
2023-12-03,1400.00
2023-12-16,850.00
2024-01-02,1250.00
2024-01-15,950.00
2024-02-06,1100.00
2024-02-19,800.00
2024-03-02,1350.00
2024-03-15,850.00
2024-04-05,1200.00
2024-04-18,900.00
2024-05-12,1050.00
2024-05-25,850.00
2024-06-07,1300.00
2024-06-20,950.00
2024-07-02,1150.00
2024-07-15,900.00
2024-08-04,1400.00
2024-08-17,850.00
2024-09-06,1200.00
2024-09-21,800.00
2024-10-05,1300.00
2024-10-18,950.00
2024-11-08,1150.00
2024-11-22,900.00
2024-12-03,1400.00
2024-12-16,850.00
