2023-01-05,1500.00
2023-01-15,1100.00
2023-02-03,1250.00
2023-02-18,950.00
2023-03-08,1400.00
2023-03-22,1050.00
2023-04-06,1350.00
2023-04-19,1000.00
2023-05-12,1600.00
2023-05-25,1200.00
2023-06-07,1450.00
2023-06-20,1100.00
2023-07-02,1300.00
2023-07-15,950.00
2023-08-04,1550.00
2023-08-17,1200.00
2023-09-06,1400.00
2023-09-21,1050.00
2023-10-05,1650.00
2023-10-18,1250.00
2023-11-08,1500.00
2023-11-22,1150.00
2023-12-03,1400.00
2023-12-16,1050.00
2024-01-02,1600.00
2024-01-15,1200.00
2024-02-06,1450.00
2024-02-19,1100.00
2024-03-02,1350.00
2024-03-15,1000.00
2024-04-05,1600.00
2024-04-18,1250.00
2024-05-12,1500.00
2024-05-25,1150.00
2024-06-07,1400.00
2024-06-20,1050.00
2024-07-02,1350.00
2024-07-15,1000.00
2024-08-04,1600.00
2024-08-17,1200.00
2024-09-06,1450.00
2024-09-21,1100.00
2024-10-05,1400.00
2024-10-18,1050.00
2024-11-08,1350.00
2024-11-22,1000.00
2024-12-03,1600.00
2024-12-16,1250.00
